date,unemp,GDP,gGDP
1979-07-01,4.8,7300.281,0.742804688
1979-10-01,4.9,7318.535,0.250045169
1980-01-01,5.3,7341.557,0.314571154
1980-04-01,6.3,7190.289,-2.060434864
1980-07-01,6.6,7181.743,-0.11885475
1980-10-01,6.4,7315.677,1.86492332
1981-01-01,6.3,7459.022,1.959422211
1981-04-01,6.3,7403.745,-0.741075707
1981-07-01,6.4,7492.405,1.197502075
1981-10-01,7.1,7410.768,-1.089596732
1982-01-01,7.7,7295.631,-1.553644642
1982-04-01,8.3,7328.912,0.456177128
1982-07-01,8.8,7300.896,-0.382266836
1982-10-01,9.6,7303.817,0.040008788
1983-01-01,9.4,7400.066,1.31779041
1983-04-01,9,7568.456,2.275520245
1983-07-01,8.3,7719.746,1.998954608
1983-10-01,7.6,7880.794,2.086182628
1984-01-01,7,8034.847,1.954790342
1984-04-01,6.6,8173.67,1.727761586
1984-07-01,6.6,8252.465,0.964010047
1984-10-01,6.4,8320.199,0.820772945
1985-01-01,6.4,8400.82,0.968979228
1985-04-01,6.5,8474.787,0.880473573
1985-07-01,6.3,8604.22,1.527271423
1985-10-01,6.2,8668.188,0.743449145
1986-01-01,6.2,8749.127,0.93374763
1986-04-01,6.3,8788.524,0.450296355
1986-07-01,6.2,8872.601,0.956668037
1986-10-01,6.1,8920.193,0.53639288
1987-01-01,5.8,8986.367,0.741844935
1987-04-01,5.5,9083.256,1.078177644
1987-07-01,5.3,9162.024,0.867178025
1987-10-01,5.1,9319.332,1.716956865
1988-01-01,5,9367.502,0.516882541
1988-04-01,4.8,9490.594,1.314032279
1988-07-01,4.8,9546.206,0.585969645
1988-10-01,4.7,9673.405,1.332456056
1989-01-01,4.5,9771.725,1.016394951
1989-04-01,4.6,9846.293,0.763099657
1989-07-01,4.6,9919.228,0.740735625
1989-10-01,4.7,9938.767,0.196981055
1990-01-01,4.6,10047.386,1.092882045
1990-04-01,4.7,10083.855,0.36297003
1990-07-01,5,10090.569,0.066581679
1990-10-01,5.4,9998.704,-0.910404557
1991-01-01,5.9,9951.916,-0.467940645
1991-04-01,6.1,10029.51,0.779689057
1991-07-01,6.2,10080.195,0.505358687
1991-10-01,6.4,10115.329,0.348544845
1992-01-01,6.7,10236.435,1.19725221
1992-04-01,6.8,10347.429,1.084303276
1992-07-01,6.9,10449.673,0.988110187
1992-10-01,6.7,10558.648,1.042855599
1993-01-01,6.4,10576.275,0.166943722
1993-04-01,6.3,10637.847,0.582170944
1993-07-01,6.1,10688.606,0.477154823
1993-10-01,6,10833.987,1.360149303
1994-01-01,5.9,10939.116,0.970362988
1994-04-01,5.4,11087.361,1.355182631
1994-07-01,5.3,11152.176,0.584584555
1994-10-01,5,11279.932,1.145570156
1995-01-01,4.8,11319.951,0.354780508
1995-04-01,4.9,11353.721,0.298322846
1995-07-01,4.9,11450.31,0.850725502
1995-10-01,4.8,11528.067,0.679082051
1996-01-01,4.8,11614.418,0.749050123
1996-04-01,4.8,11808.14,1.667944102
1996-07-01,4.5,11914.063,0.897033741
1996-10-01,4.6,12037.775,1.03836953
1997-01-01,4.5,12115.472,0.645443199
1997-04-01,4.3,12317.221,1.665217831
1997-07-01,4.1,12471.01,1.248568975
1997-10-01,4.1,12577.495,0.853860273
1998-01-01,4,12703.742,1.003753132
1998-04-01,3.8,12821.339,0.92568788
1998-07-01,3.9,12982.752,1.258940271
1998-10-01,3.8,13191.67,1.609196571
1999-01-01,3.6,13315.597,0.939433749
1999-04-01,3.7,13426.748,0.834742896
1999-07-01,3.6,13604.771,1.32588323
1999-10-01,3.5,13827.98,1.640667087
2000-01-01,3.5,13878.147,0.362793409
2000-04-01,3.4,14130.908,1.821287813
2000-07-01,3.5,14145.312,0.101932586
2000-10-01,3.4,14229.765,0.597038793
2001-01-01,3.7,14183.12,-0.327798808
2001-04-01,3.9,14271.694,0.62450293
2001-07-01,4.2,14214.516,-0.400639195
2001-10-01,4.9,14253.574,0.274775448
2002-01-01,5.1,14372.785,0.836358656
2002-04-01,5.2,14460.848,0.612706584
2002-07-01,5.1,14519.633,0.40651143
2002-10-01,5.3,14537.58,0.123605053
2003-01-01,5.3,14614.141,0.526641986
2003-04-01,5.5,14743.567,0.885621673
2003-07-01,5.5,14988.782,1.663199957
2003-10-01,5.3,15162.76,1.160721398
2004-01-01,5.1,15248.68,0.566651454
