Date,open,high,low,close,volume,adjusted,rmrf,SMB,HML,RF
2016-04-29,116.8199997,117.8399963,115.8399963,117.5800018,37140600,117.3388824,0.0091,0.0076,0.0328,1.00E-04
2016-05-31,119.4599991,120.0999985,118.1200027,118.8099976,23547600,118.5663528,0.0178,-0.0017,-0.0166,1.00E-04
2016-06-30,114.6699982,115.1800003,113.6699982,114.2799988,23192700,114.0456467,-5.00E-04,0.0061,-0.0148,2.00E-04
2016-07-29,124.6500015,125.8399963,123.7099991,123.9400024,35058800,123.6858368,0.0395,0.0249,-0.0132,2.00E-04
2016-08-31,125.5999985,126.2200012,125.0999985,126.1200027,14200600,125.8613663,0.0049,0.0115,0.0318,2.00E-04
2016-09-30,128.0299988,128.5899963,127.4499969,128.2700043,18402900,128.006958,0.0025,0.0212,-0.0124,2.00E-04
2016-10-31,132.0099945,132.1199951,130.8800049,130.9900055,15669000,130.7213745,-0.0202,-0.044,0.0409,2.00E-04
2016-11-30,120.3199997,121.7900009,117.9499969,118.4199982,30188900,118.1771469,0.0486,0.0571,0.0821,1.00E-04
2016-12-30,116.5999985,116.8300018,114.7699966,115.0500031,18684100,114.8140717,0.0182,0.001,0.0353,3.00E-04
2017-01-31,130.1699982,130.6600037,129.5200043,130.3200073,19790500,130.0527649,0.0194,-0.0119,-0.0275,4.00E-04
2017-02-28,136.7899933,136.8099976,134.75,135.5399933,16112100,135.2620392,0.0357,-0.0205,-0.0167,4.00E-04
2017-03-31,142.3099976,142.6300049,141.8899994,142.0500031,11478300,141.7586975,0.0017,0.0114,-0.0335,3.00E-04
2017-04-28,149.5,151.5299988,149.0700073,150.25,30652200,149.9418793,0.0109,0.0073,-0.0213,5.00E-04
2017-05-31,152.6999969,153.3500061,151.0899963,151.4600067,18023900,151.1494141,0.0106,-0.0257,-0.0378,6.00E-04
2017-06-30,151.8999939,151.9199982,150.0599976,150.9799957,17666000,150.6703796,0.0078,0.0225,0.0148,6.00E-04
2017-07-31,172,172.7200012,168.5500031,169.25,25478900,168.9029083,0.0187,-0.0151,-0.0031,7.00E-04
2017-08-31,170.3999939,172.1499939,170.0599976,171.9700012,17226500,171.6173401,0.0016,-0.0167,-0.021,9.00E-04
2017-09-29,168.8300018,171.6600037,168.8099976,170.8699951,15340400,170.5195923,0.0251,0.0447,0.0313,9.00E-04
2017-10-31,180.5700073,180.8000031,178.9400024,180.0599976,20174200,179.6907349,0.0225,-0.0194,0.002,9.00E-04
2017-11-30,176.8500061,178.2799988,175.1999969,177.1799927,25307600,176.8166504,0.0312,-0.0055,-3.00E-04,8.00E-04
2017-12-29,178,178.8500061,176.4600067,176.4600067,10261500,176.0981293,0.0106,-0.0132,6.00E-04,9.00E-04
2018-01-31,188.3699951,189.8300018,185.2200012,186.8899994,43275100,186.5067291,0.0557,-0.0312,-0.0129,0.0012
2018-02-28,182.3000031,182.8800049,178.1399994,178.3200073,18783000,177.9543304,-0.0365,0.0026,-0.0104,0.0011
2018-03-29,155.1499939,161.4199982,154.1399994,159.7899933,59434300,159.4623108,-0.0235,0.0406,-0.0021,0.0011
2018-04-30,173.7899933,175.7200012,171.7100067,172,20750500,171.6472778,0.0028,0.0113,0.0054,0.0014
2018-05-31,187.8699951,192.7200012,187.4799957,191.7799988,30782600,191.3867188,0.0265,0.0526,-0.0322,0.0014
2018-06-29,197.3200073,197.6000061,193.9600067,194.3200073,15811600,193.9215088,0.0048,0.0113,-0.0233,0.0014
2018-07-31,170.6699982,174.2400055,170,172.5800018,40356500,172.2260895,0.0319,-0.0222,0.0045,0.0016
2018-08-31,177.1499939,177.6199951,174.9799957,175.7299957,18065200,175.3696289,0.0344,0.0115,-0.04,0.0016
2018-09-28,168.3300018,168.7899933,162.5599976,164.4600067,34265600,164.1227417,6.00E-04,-0.0229,-0.017,0.0015
2018-10-31,155,156.3999939,148.9600067,151.7899933,60101300,151.478714,-0.0768,-0.0474,0.0341,0.0019
2018-11-30,138.2599945,140.9700012,137.3600006,140.6100006,25732600,140.3216553,0.0169,-0.0068,0.0028,0.0018
2018-12-31,134.4499969,134.6399994,129.9499969,131.0899963,24625300,130.821167,-0.0957,-0.0237,-0.0188,0.002
2019-01-31,165.6000061,171.6799927,165,166.6900024,77233600,166.3481598,0.084,0.0289,-0.0044,0.0021
2019-02-28,162.3699951,163.5,160.8600006,161.4499969,11114200,161.1189117,0.034,0.0207,-0.027,0.0018
2019-03-29,166.3899994,167.1900024,164.8099976,166.6900024,13455500,166.3481598,0.011,-0.0306,-0.0413,0.0019
2019-04-30,194.1900024,197.3899994,192.2799988,193.3999939,23494700,193.0033875,0.0397,-0.0172,0.0215,0.0021
2019-05-31,180.2799988,180.5399933,177.1600037,177.4700012,15226500,177.1060638,-0.0694,-0.0131,-0.0237,0.0021
